time,P,G(i),H_sun,T2m,WS10m,Int
20160531:2330,886.04,546.76,9.16,19.42,4.28,0
20160601:0030,0,0,-0.04,18.23,3.66,0
20160601:0130,0,0,0,16.8,3.45,0
20160601:0230,0,0,0,15.77,3.45,0
20160601:0330,0,0,0,15.07,3.38,0
20160601:0430,0,0,0,14.51,3.1,0
20160601:0530,0,0,0,14.24,2.76,0
20160601:0630,0,0,0,14.05,2.48,0
20160601:0730,0,0,0,14.48,2.41,0
20160601:0830,0,0,0,14.39,2.55,0
20160601:0930,257.04,164.09,2.31,14.21,2.76,0
20160601:1030,543.2,333.69,11.86,14.07,2.76,0
20160601:1130,1314.6,817.29,22.01,14.45,3.1,0
20160601:1230,1446.76,907.13,32.47,15.5,3.86,0
20160601:1330,1562,999.7,42.89,16.77,3.52,0
20160601:1430,1584.14,1032.14,52.77,18.25,2.9,0
20160601:1530,1447.84,941.18,61.14,19.7,2.48,0
20160601:1630,1404.54,917.3,66.07,20.82,2.34,0
20160601:1730,1339.2,873.44,65.26,21.65,2.34,0
20160601:1830,801.92,515.73,59.18,22.65,2.55,0
20160601:1930,860.36,547.87,50.27,22.3,2.76,0
20160601:2030,713.1,456.96,40.18,22.72,2.62,0
20160601:2130,561.82,362.67,29.72,22.91,2.41,0
20160601:2230,377.88,249.15,19.31,22.92,2.28,0
20160601:2330,414.32,269.47,9.28,22.44,2.14,0
20160602:0030,0,2.83,0.08,21.31,2.55,0
20160602:0130,0,0,0,20.02,2.83,0
20160602:0230,0,0,0,19.05,2.97,0
20160602:0330,0,0,0,18.23,2.83,0
20160602:0430,0,0,0,17.49,2.76,0
20160602:0530,0,0,0,16.88,2.69,0
20160602:0630,0,0,0,16.7,2.76,0
20160602:0730,0,0,0,16.97,3.38,0
20160602:0830,0,0,0,16.91,3.79,0
20160602:0930,270.56,174.36,2.39,16.79,3.86,0
20160602:1030,544.74,337.62,11.92,17.02,4,0
20160602:1130,984.64,607.9,22.07,17.82,3.79,0
20160602:1230,1125.38,697.62,32.53,19.08,4.69,0
20160602:1330,1080.56,673.03,42.95,20.23,4.83,0
20160602:1430,841.28,529.76,52.84,21.17,4.28,0
20160602:1530,509.82,330.65,61.24,21.92,4.07,0
20160602:1630,517.18,335.95,66.2,22.34,3.45,0
20160602:1730,640.12,411.5,65.4,23.3,3.1,0
20160602:1830,237.3,168.45,59.31,24.04,3.24,0
20160602:1930,325.66,218.28,50.39,21.54,2.69,0
20160602:2030,163.96,119.31,40.3,21.5,2.83,0
20160602:2130,225.48,155.27,29.83,21.35,2.76,0
20160602:2230,432.9,278.49,19.42,21.52,2.83,0
20160602:2330,175.28,124.07,9.4,21.94,2.83,0
20160603:0030,0,1.9,0.2,21.61,2.83,0
20160603:0130,0,0,0,20.94,2.76,0
20160603:0230,0,0,0,20.36,3.03,0
20160603:0330,0,0,0,19.85,3.03,0
20160603:0430,0,0,0,19.22,3.24,0
20160603:0530,0,0,0,18.41,3.38,0
20160603:0630,0,0,0,18.35,3.24,0
20160603:0730,0,0,0,18.45,3.03,0
20160603:0830,0,0,0,17.86,2.83,0
20160603:0930,268.54,174.36,2.46,17.25,2.76,0
20160603:1030,776.54,478.97,11.99,16.81,2.76,0
20160603:1130,1229.78,770.82,22.13,17.23,2.9,0
20160603:1230,1446.74,921.62,32.58,18.15,3.45,0
20160603:1330,1514.12,977.31,43.01,19.34,3.38,0
20160603:1430,1547.68,1010.23,52.91,20.86,3.38,0
20160603:1530,1506.76,982.32,61.33,22.46,3.72,0
20160603:1630,1370.08,884.27,66.31,23.7,4.14,0
20160603:1730,1405.2,912.1,65.53,24.42,4.14,0
20160603:1830,1240.68,799.84,59.43,25.19,4,0
20160603:1930,811.84,519.02,50.51,25.15,4.21,0
20160603:2030,698.9,447.93,40.41,25.1,3.79,0
20160603:2130,798.52,507.46,29.94,25.12,3.72,0
20160603:2230,683.2,433.88,19.53,24.94,3.66,0
20160603:2330,514.4,329.93,9.52,23.96,3.17,0
20160604:0030,0,3.16,0.32,22.61,3.17,0
20160604:0130,0,0,0,21.08,2.9,0
20160604:0230,0,0,0,20.02,2.48,0
20160604:0330,0,0,0,19.09,2.41,0
20160604:0430,0,0,0,18.49,2.34,0
20160604:0530,0,0,0,17.82,2.28,0
20160604:0630,0,0,0,17.25,2.21,0
20160604:0730,0,0,0,16.75,2.14,0
20160604:0830,0,0,0,16.31,2.14,0
20160604:0930,335.42,212.47,2.53,16.01,2.07,0
20160604:1030,782.14,482.2,12.04,15.79,1.79,0
20160604:1130,901.92,561.16,22.18,16.73,1.59,0
20160604:1230,1188.46,756.32,32.63,17.99,1.52,0
20160604:1330,1084.86,692.37,43.06,19.59,1.31,0
20160604:1430,1234.4,808.88,52.97,20.93,1.03,0
20160604:1530,1281.12,838.82,61.41,22.37,1.79,0
20160604:1630,1066.98,690.27,66.42,23.24,2.21,0
20160604:1730,1117.36,726.45,65.66,23.77,2.28,0
20160604:1830,739.32,479.4,59.55,24.32,2.21,0
20160604:1930,749.64,485.88,50.62,23.96,0.83,0
20160604:2030,647.42,422.41,40.52,24.14,0.48,0
20160604:2130,447.46,295.89,30.05,24.14,0.48,0
20160604:2230,722.38,464.54,19.64,23.9,0.69,0
20160604:2330,619.34,397.88,9.63,23.65,0.9,0
20160605:0030,0,4.45,0.43,22.86,1.03,0
20160605:0130,0,0,0,20.99,1.59,0
20160605:0230,0,0,0,19.54,1.93,0
20160605:0330,0,0,0,18.73,2,0
20160605:0430,0,0,0,17.9,2.07,0
20160605:0530,0,0,0,17.31,2.21,0
20160605:0630,0,0,0,17.01,2.69,0
20160605:0730,0,0,0,16.65,3.1,0
20160605:0830,0,0,0,16.42,2.83,0
20160605:0930,79.02,59.47,2.59,16.28,2.83,0
20160605:1030,79.8,61.3,12.09,16.43,2.97,0
20160605:1130,108.46,80.54,22.23,17.23,3.1,0
20160605:1230,115.54,86.06,32.68,18.09,3.17,0
20160605:1330,134,98.46,43.11,18.8,3.03,0
20160605:1430,217.56,150.89,53.03,19.34,2.76,0
20160605:1530,147.68,107.43,61.49,19.11,3.52,0
20160605:1630,114.12,84.77,66.53,17.66,5.03,0
20160605:1730,149.7,106.96,65.78,17.83,6.07,0
20160605:1830,103.54,78.14,59.67,18.03,6.41,0
20160605:1930,69.96,55.99,50.73,17.5,5.79,0
20160605:2030,42.06,37.17,40.62,17.54,6.07,0
20160605:2130,14.5,16.99,30.15,17.64,6.14,0
20160605:2230,3.82,7.59,19.75,17.67,5.52,0
20160605:2330,3.02,6.73,9.74,17.61,5.31,0
20160606:0030,0,0.9,0.54,17.98,5.38,0
20160606:0130,0,0,0,17.66,5.24,0
20160606:0230,0,0,0,17.6,4.76,0
20160606:0330,0,0,0,17.42,4.14,0
20160606:0430,0,0,0,17.19,3.52,0
20160606:0530,0,0,0,17.06,3.38,0
20160606:0630,0,0,0,17.05,3.72,0
20160606:0730,0,0,0,17.1,4.34,0
20160606:0830,0,0,0,17.05,4.9,0
20160606:0930,195.44,129.29,2.64,16.65,5.52,0
20160606:1030,422.8,263.17,12.14,16.72,5.72,0
20160606:1130,156.42,107.49,22.27,16.31,6.28,0
20160606:1230,536,329.1,32.72,16.13,6.69,0
20160606:1330,1002.12,612.03,43.15,16.52,6.07,0
20160606:1430,1403.28,868.87,53.08,17.78,6.97,0
20160606:1530,1265.46,781.39,61.56,19.59,7.66,0
20160606:1630,1370.46,855.01,66.63,20.64,7.17,0
20160606:1730,1113.24,688.59,65.89,21.57,7.52,0
20160606:1830,1230.96,765.15,59.78,21.77,7.24,0
20160606:1930,1165.78,724.31,50.83,21.78,6.97,0
20160606:2030,1107.5,686.02,40.72,21.75,6.9,0
20160606:2130,791.56,489.53,30.25,21.61,6.55,0
20160606:2230,570.96,357.37,19.85,21,5.45,0
20160606:2330,523.96,327.55,9.84,20.29,5.17,0
20160607:0030,0.04,3.68,0.64,19.59,4.97,0
20160607:0130,0,0,0,18.88,4.76,0
20160607:0230,0,0,0,18.12,4.48,0
20160607:0330,0,0,0,17.81,4.41,0
20160607:0430,0,0,0,17.24,4,0
20160607:0530,0,0,0,16.6,3.45,0
20160607:0630,0,0,0,15.95,3.17,0
20160607:0730,0,0,0,15.8,3.45,0
20160607:0830,0,0,0,15.48,3.38,0
20160607:0930,102.8,73.4,2.69,15.23,3.24,0
20160607:1030,75.86,58.27,12.18,15.33,3.03,0
20160607:1130,487.48,305.13,22.3,15.75,2.83,0
20160607:1230,1124.74,698.57,32.75,16.53,3.03,0
20160607:1330,1251.72,783.51,43.19,17.67,3.66,0
20160607:1430,1295.36,815,53.13,18.73,3.79,0
20160607:1530,1215.2,763.07,61.62,19.74,4.28,0
20160607:1630,1175.48,738.85,66.72,20.32,4.41,0
20160607:1730,1213.46,765.5,66,20.77,4.48,0
20160607:1830,1218.2,770.17,59.89,21.09,4.41,0
20160607:1930,864.7,544.86,50.93,21.3,3.79,0
20160607:2030,802.16,505.98,40.82,20.99,3.1,0
20160607:2130,651.66,407.31,30.34,20.21,4.21,0
20160607:2230,630.38,391.94,19.95,18.92,4.07,0
20160607:2330,389.88,247.56,9.94,18.38,3.86,0
20160608:0030,1.02,4.13,0.74,16.86,4.07,0
20160608:0130,0,0,0,15.86,3.93,0
20160608:0230,0,0,0,15.18,4.07,0
20160608:0330,0,0,0,14.36,4.34,0
20160608:0430,0,0,0,13.46,4.48,0
20160608:0530,0,0,0,12.75,4.55,0
20160608:0630,0,0,0,12.14,4.41,0
20160608:0730,0,0,0,12.74,4.28,0
20160608:0830,0,0,0,12.18,4.55,0
20160608:0930,152.36,99.96,2.73,11.69,4.41,0
20160608:1030,278.94,175.02,12.22,11.53,4.55,0
20160608:1130,468.56,286.41,22.33,11.57,4.76,0
20160608:1230,512.88,314.22,32.78,11.82,4.76,0
20160608:1330,830.98,503.04,43.22,12.04,4.97,0
20160608:1430,628.04,385.37,53.17,12.53,5.38,0
20160608:1530,877.34,533.5,61.68,12.63,5.52,0
20160608:1630,841.94,514.23,66.8,13.07,5.93,0
20160608:1730,628.28,388.97,66.1,13.47,6.14,0
20160608:1830,510.46,318.11,59.99,13.53,6.34,0
20160608:1930,436.58,273.97,51.03,13.31,5.86,0
20160608:2030,327.96,208.29,40.91,13.2,5.93,0
20160608:2130,124.1,86.44,30.44,12.67,5.93,0
20160608:2230,57.36,43.7,20.04,11.79,5.86,0
20160608:2330,29.94,24.82,10.04,10.82,5.1,0
20160609:0030,0.64,1.87,0.83,10.16,4.83,0
20160609:0130,0,0,0,9.5,5.03,0
20160609:0230,0,0,0,9.01,4.97,0
20160609:0330,0,0,0,8.66,5.17,0
20160609:0430,0,0,0,8.28,5.24,0
20160609:0530,0,0,0,7.91,5.31,0
20160609:0630,0,0,0,7.66,5.17,0
20160609:0730,0,0,0,8.16,5.17,0
20160609:0830,0,0,0,8.2,5.17,0
20160609:0930,22.48,18.04,2.77,8.11,5.17,0
20160609:1030,32.72,25.35,12.25,7.92,4.83,0
20160609:1130,100.56,67.89,22.36,7.85,5.17,0
20160609:1230,298,183.85,32.8,7.89,5.66,0
20160609:1330,240.38,152.09,43.24,8.33,5.93,0
20160609:1430,479.94,293.16,53.2,8.78,5.79,0
20160609:1530,475.82,291,61.73,9.84,6.14,0
20160609:1630,359.38,225.38,66.88,10.69,6.41,0
20160609:1730,385.14,241.44,66.19,11.06,6.48,0
20160609:1830,497.24,307.33,60.08,11.7,6.9,0
20160609:1930,338.94,214.91,51.12,12.66,7.38,0
20160609:2030,182.84,122.16,41,12.57,7.38,0
20160609:2130,104.72,74,30.53,12.29,6.69,0
20160609:2230,46.96,36.84,20.13,11.74,6.28,0
20160609:2330,64.04,46.55,10.13,11.02,5.52,0
20160610:0030,0.82,2.15,0.92,10.37,4.69,0
20160610:0130,0,0,0,9.66,4.07,0
20160610:0230,0,0,0,9.21,3.72,0
20160610:0330,0,0,0,8.99,3.52,0
20160610:0430,0,0,0,8.83,3.38,0
20160610:0530,0,0,0,8.81,3.38,0
20160610:0630,0,0,0,8.72,3.45,0
20160610:0730,0,0,0,9.21,3.31,0
20160610:0830,0,0,0,9.08,3.24,0
20160610:0930,1.76,2.94,2.8,9,3.03,0
20160610:1030,221.26,138.87,12.27,9,2.69,0
20160610:1130,372.18,227.74,22.38,9.17,2.48,0
20160610:1230,509.08,310.13,32.82,9.61,2.41,0
20160610:1330,615,374.29,43.26,10.57,2.62,0
20160610:1430,764.48,465.97,53.23,11.36,3.17,0
20160610:1530,801.14,492.23,61.78,12.52,3.38,0
20160610:1630,938.88,580.06,66.95,13.79,3.17,0
20160610:1730,930.16,578.51,66.28,15.29,3.1,0
20160610:1830,1037.72,648.54,60.17,16.55,3.17,0
20160610:1930,694.34,434.45,51.21,18.5,3.86,0
20160610:2030,573.28,361.89,41.09,18.72,3.72,0
20160610:2130,609.2,380.71,30.61,18.57,4,0
20160610:2230,1064.12,658.11,20.22,18.13,4.14,0
20160610:2330,740.06,454.83,10.22,17.59,3.93,0
20160611:0030,2.66,5.93,1.01,16.37,3.45,0
20160611:0130,0,0,0,15.01,3.03,0
20160611:0230,0,0,0,14.07,2.76,0
20160611:0330,0,0,0,13.22,2.41,0
20160611:0430,0,0,0,12.5,1.93,0
20160611:0530,0,0,0,11.74,1.93,0
20160611:0630,0,0,0,11.01,1.93,0
20160611:0730,0,0,0,11.11,2.41,0
20160611:0830,0,0,0,10.9,2.14,0
20160611:0930,9.78,10.33,2.83,10.74,1.93,0
20160611:1030,53.86,41.26,12.29,10.84,1.72,0
20160611:1130,132.3,91.32,22.39,11.56,1.45,0
20160611:1230,166.94,113.69,32.83,12.52,1.45,0
20160611:1330,175.52,119.81,43.28,13.31,1.52,0
20160611:1430,117.9,84.26,53.25,13.57,1.79,0
20160611:1530,201.04,135.84,61.81,13.47,1.38,0
20160611:1630,162.6,112.77,67.01,13.74,0.97,0
20160611:1730,167.88,115.84,66.36,13.96,2.07,0
20160611:1830,186.98,127.36,60.26,14.05,2.28,0
20160611:1930,152.42,106.48,51.29,15.32,2.28,0
20160611:2030,129.86,92.15,41.17,15.13,2.34,0
20160611:2130,75.6,58.01,30.69,14.89,2.41,0
20160611:2230,27.26,25.26,20.3,14.71,2,0
20160611:2330,34.98,30.17,10.3,14.5,1.59,0
20160612:0030,0.1,2.06,1.09,14.44,1.59,0
20160612:0130,0,0,0,14.22,1.66,0
20160612:0230,0,0,0,13.84,1.66,0
20160612:0330,0,0,0,13.28,2,0
20160612:0430,0,0,0,13.18,2.41,0
20160612:0530,0,0,0,13.52,2.9,0
20160612:0630,0,0,0,14.42,3.38,0
20160612:0730,0,0,0,14.88,4.41,0
20160612:0830,0,0,0,14.5,6.69,0
20160612:0930,52.24,40.12,2.85,13.27,6.76,0
20160612:1030,51.56,39.71,12.3,11.8,6.97,0
20160612:1130,249.56,157.57,22.4,10.83,6.62,0
20160612:1230,319.56,199.05,32.84,10.63,6.69,0
20160612:1330,207.86,134.37,43.29,10.8,7.03,0
20160612:1430,307.52,193.57,53.27,10.46,6.55,0
20160612:1530,440.56,271.14,61.85,10.54,7.52,0
20160612:1630,482.46,298.12,67.07,11.05,7.38,0
20160612:1730,382.24,238.93,66.44,11.71,7.45,0
20160612:1830,428.74,267.13,60.34,11.96,7.38,0
20160612:1930,318.86,201.57,51.37,11.92,6.48,0
20160612:2030,137,93.96,41.25,12.05,6.41,0
20160612:2130,69.24,51.34,30.77,11.61,6.34,0
20160612:2230,44.32,34.85,20.38,11.21,6.07,0
20160612:2330,121.86,82,10.38,11.28,5.66,0
20160613:0030,1.98,3.73,1.16,11.46,5.17,0
20160613:0130,0,0,0,11.69,4.28,0
20160613:0230,0,0,0,12.04,4.34,0
20160613:0330,0,0,0,12.57,4.48,0
20160613:0430,0,0,0,12.95,4.34,0
20160613:0530,0,0,0,12.95,3.93,0
20160613:0630,0,0,0,12.73,3.72,0
20160613:0730,0,0,0,11.97,3.93,0
20160613:0830,0,0,0,11.67,4.14,0
20160613:0930,382.28,232.95,2.86,11.52,4.48,0
20160613:1030,828.44,495.82,12.31,11.64,4.41,0
20160613:1130,1285.24,789.78,22.41,12.45,3.31,0
20160613:1230,1530.06,959.57,32.85,13.97,3.86,0
20160613:1330,1410.98,884.46,43.29,15.63,3.86,0
20160613:1430,1337.02,838.02,53.28,17.06,4,0
20160613:1530,1378.94,870.13,61.87,18.25,4.55,0
20160613:1630,1069.26,663.88,67.12,19.36,5.17,0
20160613:1730,991.48,616.64,66.51,19.68,5.31,0
20160613:1830,856.98,530.56,60.41,19.57,5.52,0
20160613:1930,615.04,385.03,51.44,18.57,5.79,0
20160613:2030,777.78,477.99,41.32,18.1,5.52,0
20160613:2130,1104.7,678.09,30.84,17.17,5.1,0
20160613:2230,958.32,581.8,20.45,15.81,5.31,0
20160613:2330,514.5,315.97,10.45,15.01,4.41,0
20160614:0030,2.68,5.31,1.23,14.43,4,0
20160614:0130,0,0,0,13.48,3.86,0
20160614:0230,0,0,0,12.63,3.31,0
20160614:0330,0,0,0,11.98,2.97,0
20160614:0430,0,0,0,11.61,2.97,0
20160614:0530,0,0,0,11.34,2.9,0
20160614:0630,0,0,0,10.97,2.69,0
20160614:0730,0,0,0,10.43,2.76,0
20160614:0830,0,0,0,10.38,2.62,0
20160614:0930,419.78,254.27,2.87,10.09,2.76,0
20160614:1030,797.04,478.13,12.32,10.36,2.83,0
20160614:1130,1183.36,721.72,22.41,11.26,2.9,0
20160614:1230,1393.28,868.76,32.84,12.77,2.83,0
20160614:1330,1561.86,1000.52,43.29,14.53,2.62,0
20160614:1430,1590.58,1023.69,53.28,16.38,3.17,0
20160614:1530,1568.5,1007.29,61.89,18.15,3.93,0
20160614:1630,1525.62,980.91,67.16,19.96,4.28,0
20160614:1730,1410.84,904.2,66.57,21.75,4.41,0
20160614:1830,1345.22,859.84,60.48,23.13,4.69,0
20160614:1930,960.36,608.05,51.51,23.9,4,0
20160614:2030,907.86,573.71,41.39,23.98,4,0
20160614:2130,990.56,625.07,30.91,23.68,4.07,0
20160614:2230,959.84,602.35,20.52,23.36,4.21,0
20160614:2330,699.66,438.16,10.52,22.32,4,0
20160615:0030,0.18,4.37,1.3,20.73,4.14,0
20160615:0130,0,0,0,19.55,4.07,0
20160615:0230,0,0,0,18.48,3.66,0
20160615:0330,0,0,0,17.48,3.38,0
20160615:0430,0,0,0,16.6,3.31,0
20160615:0530,0,0,0,16.01,3.31,0
20160615:0630,0,0,0,15.32,3.1,0
20160615:0730,0,0,0,14.86,2.9,0
20160615:0830,0,0,0,14.3,2.69,0
20160615:0930,529.28,323.49,2.88,13.8,2.48,0
20160615:1030,1009.02,618.27,12.32,13.65,2.28,0
20160615:1130,1291.3,811.61,22.4,15.02,2.07,0
20160615:1230,1426.46,916.23,32.84,17.07,2.14,0
20160615:1330,1484.6,973.29,43.29,18.98,1.86,0
20160615:1430,1502.1,1000.4,53.28,20.67,1.59,0
20160615:1530,1395.86,919.52,61.91,22.26,1.86,0
20160615:1630,1205.48,775.96,67.2,23.38,2.62,0
20160615:1730,1300.86,847.51,66.63,24.08,2.76,0
20160615:1830,1163.76,752.11,60.55,25.03,3.03,0
20160615:1930,1090.6,707,51.58,25.97,2.55,0
20160615:2030,966.58,624.48,41.46,26.34,2.55,0
20160615:2130,945.42,607.56,30.98,26.33,2.62,0
20160615:2230,770,493.15,20.59,25.84,2.28,0
20160615:2330,566.2,363.86,10.59,24.63,2.14,0
20160616:0030,0.32,5.56,1.36,22.99,2.14,0
20160616:0130,0,0,0,21.15,1.93,0
20160616:0230,0,0,0,19.53,1.86,0
20160616:0330,0,0,0,18.11,1.86,0
20160616:0430,0,0,0,16.79,1.72,0
20160616:0530,0,0,0,15.69,1.66,0
20160616:0630,0,0,0,14.81,1.86,0
20160616:0730,0,0,0,14.05,1.1,0
20160616:0830,0,0,0,12.98,1.45,0
20160616:0930,493.04,301.41,2.87,12.59,1.93,0
20160616:1030,968.62,591.91,12.31,13.25,2.34,0
20160616:1130,1308.82,819.99,22.39,14.85,2.48,0
20160616:1230,1466.68,934.54,32.83,16.93,3.1,0
20160616:1330,1543.46,994.88,43.28,18.84,3.59,0
20160616:1430,1581.56,1026.6,53.28,20.43,4,0
20160616:1530,1593.82,1040.88,61.91,21.59,4.07,0
20160616:1630,1588.1,1045.31,67.23,22.5,3.72,0
20160616:1730,1576.06,1045.48,66.68,23.26,3.31,0
20160616:1830,1561.46,1041.34,60.61,23.9,3.03,0
20160616:1930,1513.54,1016.22,51.64,24.61,2.41,0
20160616:2030,1457.72,974.6,41.52,24.77,2.21,0
20160616:2130,1309.52,860.56,31.04,24.74,2.21,0
20160616:2230,1177.64,760.2,20.65,24.42,2.48,0
20160616:2330,921.9,584.73,10.65,23.48,2.41,0
20160617:0030,1.02,6.02,1.41,21.77,2.34,0
20160617:0130,0,0,0,20.06,2.28,0
20160617:0230,0,0,0,18.79,1.93,0
20160617:0330,0,0,0,17.03,1.31,0
20160617:0430,0,0,0,16.31,1.17,0
20160617:0530,0,0,0,14.27,1.86,0
20160617:0630,0,0,0,13.93,2.14,0
20160617:0730,0,0,0,13.04,1.93,0
20160617:0830,0,0,0,12.69,2.14,0
20160617:0930,558.74,339.31,2.87,12.25,2.07,0
20160617:1030,1044.3,639.97,12.3,12.24,1.79,0
20160617:1130,1295.46,821.56,22.38,14.64,1.24,0
20160617:1230,1431.78,934.86,32.81,17.01,1.1,0
20160617:1330,1486.6,988.01,43.26,19.2,1.17,0
20160617:1430,1488.22,1001.99,53.27,21.07,1.03,0
20160617:1530,1508.82,1036.68,61.91,22.74,0.69,0
20160617:1630,1262.88,844.18,67.25,24.15,0.48,0
20160617:1730,1338.62,914.89,66.73,24.7,0.21,0
20160617:1830,1383.42,954.47,60.66,25.29,0.14,0
20160617:1930,1317.22,882.32,51.7,26.51,1.45,0
20160617:2030,1273.88,853.44,41.58,26.59,1.1,0
20160617:2130,1122.44,745.3,31.1,26.56,0.55,0
20160617:2230,1037.94,684.73,20.71,26.44,0.34,0
20160617:2330,776.92,504.31,10.71,25.92,0.41,0
20160618:0030,0,5.11,1.47,24.29,1.31,0
20160618:0130,0,0,0,22.17,2,0
20160618:0230,0,0,0,20.36,1.93,0
20160618:0330,0,0,0,18.83,1.38,0
20160618:0430,0,0,0,18.81,1.17,0
20160618:0530,0,0,0,17.5,1.38,0
20160618:0630,0,0,0,15.35,1.66,0
20160618:0730,0,0,0,16.37,1.45,0
20160618:0830,0,0,0,17.58,1.1,0
20160618:0930,561.08,342.65,2.86,13.29,1.79,0
20160618:1030,1046.3,643.87,12.28,13.46,1.86,0
20160618:1130,1305.24,835.61,22.36,16.12,1.1,0
20160618:1230,1415.2,937.12,32.79,18.81,0.69,0
20160618:1330,1460.52,991.72,43.25,21.02,0.41,0
20160618:1430,1482.74,1020.81,53.25,23.08,0.48,0
20160618:1530,1497.76,1034.99,61.91,25.06,0.9,0
20160618:1630,1504.78,1042.16,67.27,26.69,1.24,0
20160618:1730,1501.1,1043.04,66.76,27.68,1.31,0
20160618:1830,1426.7,979.77,60.71,28.26,1.45,0
20160618:1930,1443.88,973.96,51.75,28.89,2.97,0
20160618:2030,1438.6,966.46,41.63,29.15,3.24,0
20160618:2130,1299.1,858.01,31.15,29.15,3.45,0
20160618:2230,975.2,632.06,20.76,28.71,3.03,0
20160618:2330,290.12,200.56,10.76,27.36,2.69,0
20160619:0030,1.04,7.73,1.51,25.39,3.03,0
20160619:0130,0,0,0,23.82,3.17,0
20160619:0230,0,0,0,22.69,3.24,0
20160619:0330,0,0,0,21.67,3.17,0
20160619:0430,0,0,0,20.74,2.9,0
20160619:0530,0,0,0,19.96,2.9,0
20160619:0630,0,0,0,19.38,3.03,0
20160619:0730,0,0,0,18.72,3.03,0
20160619:0830,0,0,0,18.34,2.97,0
20160619:0930,514.12,319.81,2.84,17.95,2.83,0
20160619:1030,943.9,584.75,12.26,17.77,2.69,0
20160619:1130,1134.46,713.63,22.34,18.76,2.55,0
20160619:1230,1184.66,751.16,32.77,20.5,3.17,0
20160619:1330,1326.36,853.68,43.22,22.26,3.59,0
20160619:1430,1424.64,928.68,53.23,24.1,3.86,0
20160619:1530,1423.88,935.78,61.9,25.94,4.07,0
20160619:1630,1374.36,903.91,67.27,27.56,4.28,0
20160619:1730,1412.92,935.2,66.79,28.83,4.62,0
20160619:1830,1496.9,996.62,60.75,29.94,4.97,0
20160619:1930,1480.12,988.03,51.8,30.73,4.9,0
20160619:2030,1315.14,866.65,41.68,31.19,4.97,0
20160619:2130,1298.02,854.26,31.2,31.1,4.69,0
20160619:2230,1220.96,798.47,20.81,30.67,4.28,0
20160619:2330,919.22,589.35,10.81,29.4,4.41,0
20160620:0030,0,6.67,1.55,27.44,4.62,0
20160620:0130,0,0,0,25.76,4.41,0
20160620:0230,0,0,0,24.6,4.07,0
20160620:0330,0,0,0,23.57,3.93,0
20160620:0430,0,0,0,22.78,3.86,0
20160620:0530,0,0,0,22.07,3.66,0
20160620:0630,0,0,0,21.5,3.59,0
20160620:0730,0,0,0,21.22,3.59,0
20160620:0830,0,0,0,20.79,3.17,0
20160620:0930,406.5,258.96,2.81,20.26,3.03,0
20160620:1030,898.58,559.65,12.23,20.06,3.03,0
20160620:1130,1236.96,786.52,22.31,21.05,2.97,0
20160620:1230,1382.38,893.95,32.74,22.9,3.38,0
20160620:1330,1451.94,945.6,43.19,24.81,4.28,0
20160620:1430,1486.4,975.32,53.21,26.69,4.83,0
20160620:1530,1503.26,991.8,61.88,28.41,5.31,0
20160620:1630,1511.62,998.77,67.28,29.82,6,0
20160620:1730,1514.14,997.58,66.82,30.68,6.83,0
20160620:1830,1228.7,796.72,60.79,31.26,7.31,0
20160620:1930,1444.48,946.71,51.84,31.12,7.17,0
20160620:2030,1336.56,868.48,41.72,31.42,7.38,0
20160620:2130,1201.44,773.91,31.25,31.11,7.24,0
20160620:2230,1121.12,719.03,20.85,30.45,6.41,0
20160620:2330,820.68,522.77,10.85,29.58,6.21,0
20160621:0030,0,6.28,1.59,28.46,6.21,0
20160621:0130,0,0,0,27.65,6.48,0
20160621:0230,0,0,0,23.25,5.45,0
20160621:0330,0,0,0,21.55,4.83,0
20160621:0430,0,0,0,21.09,5.24,0
20160621:0530,0,0,0,20.76,5.79,0
20160621:0630,0,0,0,19.86,6.14,0
20160621:0730,0,0,0,19.56,5.52,0
20160621:0830,0,0,0,18.52,4.55,0
20160621:0930,524.42,323.89,2.79,17.42,3.93,0
20160621:1030,1018.02,626.48,12.2,16.75,3.45,0
20160621:1130,1324.78,833.8,22.28,17.07,3.03,0
20160621:1230,1439.56,911.86,32.7,17.86,3.79,0
20160621:1330,1525.08,975.8,43.16,18.89,4.07,0
20160621:1430,930.3,579.82,53.18,20.11,4.97,0
20160621:1530,1214.2,762.03,61.86,20.41,5.24,0
20160621:1630,1110.88,694.52,67.27,21.34,5.72,0
20160621:1730,1152.06,722.78,66.84,21.83,6,0
20160621:1830,1291.14,811.84,60.82,22.25,6.28,0
20160621:1930,1348.78,852.34,51.88,22.2,5.93,0
20160621:2030,1159.38,725.54,41.76,22.46,5.72,0
20160621:2130,1258.9,793.82,31.29,22.3,5.1,0
20160621:2230,1239.96,782.47,20.89,22.25,4.55,0
20160621:2330,967.96,606.6,10.89,21.64,3.38,0
20160622:0030,1.82,6.52,1.62,20.51,2.41,0
20160622:0130,0,0,0,18.97,0.83,0
20160622:0230,0,0,0,17.75,1.59,0
20160622:0330,0,0,0,16.41,1.52,0
20160622:0430,0,0,0,15.63,1.31,0
20160622:0530,0,0,0,14.66,1.59,0
20160622:0630,0,0,0,14.09,1.45,0
20160622:0730,0,0,0,14.03,2.21,0
20160622:0830,0,0,0,14.02,2.48,0
20160622:0930,227.12,146.66,2.75,14.17,2.9,0
