time,P,G(i),H_sun,T2m,WS10m,Int
20130107:2030,1246,702.05,7.08,-13.22,1.79,0
20130107:2130,0,0,-1.31,-13.94,1.86,0
20130107:2230,0,0,0,-14.9,2.28,0
20130107:2330,0,0,0,-15.26,2.28,0
20130108:0030,0,0,0,-15.37,2,0
20130108:0130,0,0,0,-15.23,1.31,0
20130108:0230,0,0,0,-15.51,1.59,0
20130108:0330,0,0,0,-14.13,2.34,0
20130108:0430,0,0,0,-12.15,2.83,0
20130108:0530,0,0,0,-10.4,3.17,0
20130108:0630,0,0,0,-9.3,3.38,0
20130108:0730,0,0,0,-7.19,3.72,0
20130108:0830,0,0,0,-5.62,4.34,0
20130108:0930,0,0,0,-4.5,4.69,0
20130108:1030,0,0,0,-3.64,4.9,0
20130108:1130,0,0,0,-3.11,4.9,0
20130108:1230,0,0,-1.4,-2.62,4.9,0
20130108:1330,304.32,175.56,7.03,-2.28,4.9,0
20130108:1430,775.96,443.43,14.03,-1.76,4.76,0
20130108:1530,1062.56,613.24,19.12,-0.88,4.62,0
20130108:1630,958.02,552.29,21.84,0.1,5.24,0
20130108:1730,1236.98,719.49,21.88,0.83,5.24,0
20130108:1830,707.8,410.07,19.23,1.44,4.97,0
20130108:1930,688.02,399.15,14.2,1.7,4.69,0
20130108:2030,494.96,288,7.25,1.77,4.28,0
20130108:2130,0,0,-1.15,1.3,3.93,0
20130108:2230,0,0,0,0.55,3.52,0
20130108:2330,0,0,0,-0.03,3.03,0
20130109:0030,0,0,0,-0.31,2.69,0
20130109:0130,0,0,0,-0.71,2.69,0
20130109:0230,0,0,0,-1.09,2.76,0
20130109:0330,0,0,0,-1.31,2.76,0
20130109:0430,0,0,0,-1.74,2.55,0
20130109:0530,0,0,0,-2,2.28,0
20130109:0630,0,0,0,-2.62,2.07,0
20130109:0730,0,0,0,-2.97,1.93,0
20130109:0830,0,0,0,-3.54,1.93,0
20130109:0930,0,0,0,-3.95,2.14,0
20130109:1030,0,0,0,-4.3,2.28,0
20130109:1130,0,0,0,-4.55,2.28,0
20130109:1230,0,0,-1.36,-4.75,2.41,0
20130109:1330,849.76,482.85,7.09,-4.99,2.62,0
20130109:1430,1075.22,618.23,14.11,-4.46,2.62,0
20130109:1530,1043.6,604.68,19.23,-3.24,2.41,0
20130109:1630,498.2,290.55,21.96,-1.89,3.03,0
20130109:1730,349.74,207.81,22.02,-0.44,2.76,0
20130109:1830,101.2,63.88,19.39,0.55,2.55,0
20130109:1930,52.58,34.61,14.37,0.92,3.52,0
20130109:2030,80.24,50.35,7.41,1.4,4.28,0
